# Settings Notifications - Sorani to Badini Translation
# Instructions for AI Studio:
# Translate each line from Sorani to proper Badini Kurdish
# Format: ORIGINAL | BADINI_TRANSLATION
# Keep emojis and maintain meaning

رەوشا تاریک چالاککر | رەوشا تاری هاتە چالاککرن
رەوشا رووناهیێ چالاککر | رەوشا ڕووناهیێ هاتە چالاککرن
فۆنتا عەرەبی هاتە گوهۆڕین | فۆنتا عەرەبی هاتە گوهۆڕین
فۆنتا تەفسیرێ هاتە گوهۆڕین | فۆنتا تەفسیرێ هاتە گوهۆڕین
تەفسیر هاتە نیشاندان | تەفسیر هاتە نیشاندان
تەفسیر شارای | تەفسیر هاتە ڤەشارتن
زڤراندنا خۆکار چالاککر | زڤڕاندنا خۆکار هاتە چالاککرن
زڤراندنا خۆکار نەچالاککر | زڤڕاندنا خۆکار هاتە نەچالاککرن
رێکخستن گەڕیان ڤە بۆ بنەڕەت | ڕێکخستن ڤەگەڕیان سەر ڕەوشا بنەڕەت
هەلەیەک روودا | خەلەتییەک چێبوو
بیرهاتنێن ئیمەیلێ هاتنە چالاککرن | بیرهاتنێن ئیمەیلی هاتنە چالاککرن
بیرهاتنێن ئیمەیلێ هاتنە نەچالاککرن | بیرهاتنێن ئیمەیلی هاتنە نەچالاککرن
مافێ بیرهاتنێن گەڕۆکێ نەهاتە دان | مافێ بیرهاتنێن گەڕۆکی نەهاتە دان
بیرهاتنێن گەڕۆکێ هاتنە چالاککرن | بیرهاتنێن گەڕۆکی هاتنە چالاککرن
بیرهاتنێن گەڕۆکێ هاتنە نەچالاککرن | بیرهاتنێن گەڕۆکی هاتنە نەچالاککرن
